email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28
coldsub442@outlook.com,1,1,1,2,1,0,0,2,1,2,1,2,2,1,2,0,2,1,1,2,2,1,1,2,2,2,2,2
replacementbike38@yahoo.com,2,2,1,0,1,2,0,2,2,2,2,1,2,2,1,0,1,2,2,2,1,2,0,0,0,2,1,1
foldingcola28@yahoo.com,2,2,1,1,2,2,2,1,1,0,2,2,2,0,2,2,2,2,1,1,1,0,1,2,0,1,1,2
usedwindow885@yahoo.com,1,2,2,2,2,2,1,0,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,0,1,1,2
slightlywindow406@gmail.com,2,0,1,2,2,0,1,2,1,2,2,2,2,0,2,0,2,1,2,2,1,1,2,0,1,2,1,1
foundshack286@163.com,1,1,2,0,2,2,2,2,2,1,2,2,0,0,2,2,1,2,1,1,1,2,1,1,1,2,2,1
soiledjeep158@outlook.com,1,2,1,1,1,2,0,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1
deepsnake396@163.com,2,1,1,2,2,2,2,2,1,2,1,2,0,2,2,0,0,1,2,2,2,1,1,0,2,1,1,1
foundsnake177@163.com,1,1,1,0,2,1,2,0,2,2,0,1,1,2,2,2,0,2,1,2,2,1,2,2,2,1,0,2
hotwindow831@outlook.com,2,0,2,2,1,0,1,2,0,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1
dryshoes626@gmail.com,2,2,2,0,1,0,1,2,2,2,2,1,0,2,2,0,0,2,2,2,1,1,1,0,2,2,1,1
foldingcup786@163.com,2,0,1,2,2,0,1,2,2,0,2,0,2,2,2,1,2,1,1,2,2,2,0,2,1,1,1,1
dailyskates789@outlook.com,2,2,2,0,2,2,2,1,1,0,2,1,2,1,0,1,2,1,1,2,1,1,2,2,2,1,2,1
moistsnake175@yahoo.com,2,2,2,2,0,0,1,1,2,1,0,1,2,2,2,2,2,1,0,2,2,1,0,0,2,1,2,1
tiredhat204@163.com,1,0,1,0,1,2,0,2,1,0,2,1,0,0,2,2,2,2,2,2,1,2,2,2,2,1,0,2
lostspice859@gmail.com,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,0,2,1,0,2,1,2,2,1,1,1,2,2
buriedtire678@yahoo.com,2,2,1,1,0,1,1,0,0,2,1,0,2,2,1,2,1,1,2,2,2,2,2,2,0,2,0,2
oldtide62@qq.com,1,2,1,0,2,1,0,1,0,0,2,2,2,2,2,2,2,1,2,2,1,2,0,2,2,1,1,0
deeprug190@yahoo.com,2,1,1,2,1,2,2,1,0,1,2,2,0,0,2,2,1,1,0,2,2,1,1,1,2,2,2,2
oldblanket905@163.com,2,1,1,2,2,0,2,2,1,0,2,1,0,2,2,1,2,2,1,1,2,1,2,2,1,1,0,2
soiledsub425@163.com,2,2,1,2,2,2,1,2,1,2,1,1,1,0,1,1,0,2,1,2,1,2,2,2,2,1,2,1
usedbread568@163.com,1,2,1,2,1,1,2,2,1,2,0,1,0,2,2,0,2,2,1,2,2,2,2,0,0,1,1,2
hotspice715@163.com,2,2,1,1,0,0,1,2,2,2,2,1,0,1,2,2,2,2,1,2,1,1,0,2,2,2,1,0
extracola140@gmail.com,1,0,1,1,2,1,2,1,0,1,2,2,1,2,2,2,0,2,0,2,2,0,2,0,0,2,2,2
hotwindow293@gmail.com,1,0,1,2,2,2,0,0,1,0,1,0,2,2,1,2,2,1,2,2,1,2,0,2,2,1,2,2
usedcup447@yahoo.com,1,2,1,2,1,2,2,1,2,0,2,0,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2
buriedtide794@163.com,1,0,2,2,1,0,2,2,2,2,0,2,0,2,2,2,0,0,0,1,1,2,1,2,2,1,1,2
colddrum262@163.com,2,2,2,1,1,2,2,1,2,0,1,1,0,2,2,1,1,1,2,1,1,2,2,2,2,2,1,0
