email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
milkytide461@outlook.com,1,2,1,1,2,1,1,2,2,2,1,1,2,2
foldingtire722@163.com,2,1,2,2,1,1,2,2,2,1,1,2,1,1
colddrum537@yahoo.com,2,2,1,2,1,0,0,1,2,2,2,2,1,1
soiledwindow838@yahoo.com,1,1,2,1,2,0,2,1,2,2,2,2,1,0
slimybeans83@yahoo.com,2,1,1,2,2,2,0,2,0,2,2,0,1,1
milkyshoes260@163.com,1,2,2,2,1,0,2,1,2,1,1,2,2,1
usedbike748@qq.com,1,1,1,2,2,0,1,2,0,2,1,2,2,2
newhat584@gmail.com,1,2,1,1,2,2,2,1,2,2,1,1,1,2
mostlycup475@outlook.com,2,2,1,1,2,1,2,1,2,2,2,1,1,1
retiredshoes923@163.com,2,2,2,1,1,1,1,1,1,2,2,2,0,2
oldshack980@gmail.com,1,2,1,2,1,1,0,2,0,2,2,2,1,2
foundcup206@qq.com,1,1,2,1,1,2,2,2,1,0,1,2,2,2
newbike624@outlook.com,2,2,2,2,2,0,0,1,0,2,2,1,1,1
freshyshoes711@gmail.com,2,2,1,1,2,2,1,2,1,2,1,1,0,2
colddrum262@163.com,2,2,1,1,1,2,1,2,2,2,1,2,1,1
acientcup466@gmail.com,2,1,2,1,1,0,2,1,2,1,2,2,2,0
mostlyshack538@gmail.com,1,2,0,2,2,2,1,1,2,2,1,1,1,2
extrashack431@yahoo.com,2,1,2,2,1,1,2,1,1,2,2,0,1,2
slightlytire383@qq.com,1,2,1,2,1,2,2,1,0,2,1,1,2,2
foldinghat165@qq.com,2,0,0,2,2,2,2,1,2,1,0,2,0,1
dirtywindow48@qq.com,1,2,2,1,1,2,0,2,0,2,0,2,2,1
extradrum718@gmail.com,0,1,2,1,1,2,0,1,2,1,2,2,2,2
replacementbeans665@yahoo.com,1,1,2,1,2,2,0,1,1,2,2,1,2,2
lostsub509@yahoo.com,2,1,2,2,1,2,2,1,2,1,0,1,2,1
dirtyrug889@163.com,2,2,2,0,2,1,2,1,0,0,0,2,2,1
retiredjug229@yahoo.com,1,1,0,2,2,2,0,1,2,1,2,2,1,2
clamysnake136@163.com,0,1,1,2,2,2,0,2,2,0,2,1,1,2
deepshack71@outlook.com,2,2,2,2,1,2,2,1,1,1,1,1,1,2
coldbike895@yahoo.com,1,1,2,1,1,0,0,2,2,0,2,2,2,2
buriedtire207@gmail.com,2,1,1,2,2,0,2,2,1,2,1,2,1,1
fishytire276@gmail.com,1,1,2,1,2,0,1,1,2,2,2,2,1,2
clamyspice605@yahoo.com,2,2,2,2,1,1,0,2,2,1,1,1,1,2
deepbread381@yahoo.com,1,1,1,2,1,2,2,2,2,1,2,1,1,2
buriedcup948@163.com,2,2,2,1,1,1,2,1,2,1,2,2,1,1
foldingshack148@gmail.com,1,1,1,2,2,1,0,2,0,2,2,2,1,2
