email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
newbread855@163.com,1,1,2,2,2,2,2,2,0,1,2,1,0,2,1,2,2,1,2,2,1,2,0,2,1,2,1,2,0,1,1,1
extrajeep354@qq.com,1,0,1,1,0,2,1,2,0,1,2,1,0,2,1,2,2,2,2,2,0,2,2,2,1,2,2,1,2,0,2,1
foundrug2@yahoo.com,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,0,1,2,0,2,0,2,1,1,2
milkytire820@gmail.com,0,2,2,2,2,2,1,2,1,0,1,1,1,2,1,2,1,1,2,2,1,0,0,2,1,2,2,2,1,2,2,1
newrug832@163.com,1,2,1,2,0,2,2,1,1,0,2,1,2,0,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,1,2
lostrug518@qq.com,2,2,1,1,0,1,1,1,0,2,1,2,1,2,1,1,2,2,0,2,1,1,2,2,2,1,1,2,2,2,2,2
freshycola351@qq.com,2,2,1,1,1,2,2,1,0,2,2,2,2,1,2,1,2,1,2,1,1,0,1,2,1,0,2,0,1,2,2,2
foundsnake177@163.com,0,0,2,0,0,2,1,2,1,2,2,0,1,0,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1
foldingtire66@outlook.com,2,1,1,1,2,2,2,1,2,2,2,1,0,2,1,2,1,1,0,2,1,2,1,1,2,2,1,0,1,2,2,2
lostblanket371@outlook.com,2,2,2,2,2,2,2,1,0,1,2,1,2,0,1,2,1,2,0,0,1,2,1,1,2,2,2,0,1,0,2,0
acientspice189@163.com,2,0,2,2,0,2,0,2,0,2,2,1,2,0,2,2,2,1,2,1,0,0,0,2,2,0,2,2,1,0,0,1
slightlywindow776@yahoo.com,2,0,2,2,0,2,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,0,0,2,1,2,0,2,1,1,1,2
soiledtide149@qq.com,1,2,1,1,0,1,1,1,2,2,2,2,1,2,2,2,0,2,1,1,1,2,0,1,2,2,2,2,1,2,2,1
extrachrysler578@outlook.com,2,1,1,0,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,0,1,2,1,2,0,2,1,1,0,1,2
moistshoes897@163.com,2,2,2,0,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,0,2,2,1,2,2,2,0,1,0,0,2
milkytire691@qq.com,1,1,1,2,0,2,2,1,1,2,0,0,1,2,2,1,2,1,2,2,0,2,2,2,2,0,2,2,1,1,1,2
fishyspice176@qq.com,2,1,1,1,2,1,2,2,1,2,2,1,2,0,2,1,0,2,2,1,2,2,0,1,0,2,0,0,2,1,2,2
tiredcola21@yahoo.com,2,2,1,2,0,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,0,0,0,0,2,1,2,0
slimyjug642@163.com,0,2,2,1,2,0,2,2,2,1,1,2,0,2,1,2,2,1,2,0,2,1,0,2,2,0,2,0,0,0,0,2
slimyspice540@163.com,2,1,1,2,2,2,2,2,1,2,1,1,2,0,1,2,1,1,0,1,2,0,1,2,0,2,1,2,2,2,0,2
colddrum537@yahoo.com,2,1,2,2,0,2,2,1,2,2,2,2,1,1,1,2,0,2,1,1,1,1,2,1,2,2,2,2,1,0,1,1
coldshoes621@gmail.com,1,1,2,2,0,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,0,1,2,1,2
dirtychrysler281@163.com,2,2,1,2,2,1,1,1,0,1,1,2,2,2,2,2,2,1,2,1,1,0,1,1,1,2,1,0,2,2,2,2
soiledtire703@163.com,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,0,1,1,2,1
clamyjug899@yahoo.com,1,2,1,1,1,2,1,2,2,1,2,1,0,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2
slimyhat932@yahoo.com,1,2,2,1,2,2,1,2,0,2,2,2,1,1,2,1,0,2,2,1,0,0,2,2,2,0,0,0,2,1,2,0
buriedtire367@163.com,2,0,2,1,0,2,0,0,2,2,1,1,1,1,0,2,2,2,2,2,2,0,2,0,1,0,0,0,2,2,2,2
replacementhat268@qq.com,2,2,2,2,2,2,1,1,1,0,2,1,0,1,2,1,2,0,1,1,0,2,2,2,1,0,2,2,0,2,0,2
foundshack537@qq.com,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,0,1,1,1,1,1,0,1,2,2,2,1,2
buriedtide794@163.com,1,0,2,2,0,1,2,2,2,2,1,1,0,2,1,2,2,2,1,1,0,1,2,0,2,0,2,2,2,1,0,2
freshywindow51@outlook.com,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,0,2,2,1,2,0,2,2,1,2,2,2,0,1,1
