email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
foundtide103@qq.com,2,1,1,2,2,2,2,2,0,1,2,2,0,2,1,1,0,1,1,2
retiredcola422@163.com,0,1,2,2,1,1,2,2,1,1,2,1,2,2,0,2,1,2,1,2
dailyshack386@yahoo.com,1,2,0,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2
slimyrug81@yahoo.com,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1
extrajeep354@qq.com,1,1,1,2,1,1,2,2,1,2,1,0,2,2,2,2,1,2,1,2
milkyshoes757@yahoo.com,0,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1
deepsnake600@yahoo.com,2,2,1,2,1,2,2,2,2,1,2,1,0,2,0,1,1,1,1,2
deepsnake772@gmail.com,2,2,1,0,2,0,1,2,2,2,1,2,1,1,2,2,2,1,1,1
acientspice799@yahoo.com,1,1,1,2,2,1,2,2,0,2,1,1,2,2,2,2,1,2,0,1
milkyblanket221@qq.com,2,2,1,2,2,2,0,2,2,1,1,1,1,2,2,0,2,1,1,1
coldblanket968@gmail.com,2,2,1,0,2,2,1,0,2,2,1,1,1,2,2,1,1,2,2,1
replacementskates447@outlook.com,1,1,2,0,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1
fishyhat971@outlook.com,2,1,2,2,1,2,0,1,0,1,1,2,2,2,2,1,1,1,2,2
hotcup999@163.com,2,2,1,2,1,0,1,0,0,2,2,1,1,2,2,1,2,1,2,2
fishyshack419@163.com,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1
freshyspice871@qq.com,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1
newchrysler620@yahoo.com,1,2,2,2,1,1,0,1,0,1,2,2,2,2,2,1,2,1,1,2
dirtyspice29@outlook.com,2,1,2,2,1,2,0,1,2,1,1,1,2,2,2,1,2,0,1,2
mostlytire325@outlook.com,1,1,2,0,1,2,0,2,0,2,2,2,0,2,2,2,0,2,1,0
newsnake440@gmail.com,0,0,1,2,1,1,2,0,2,2,2,2,2,1,0,1,1,2,2,2
drywindow184@qq.com,2,2,2,0,2,2,2,1,0,1,2,1,1,2,2,1,0,1,1,2
buriedspice285@outlook.com,1,0,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1
slightlytire774@163.com,1,1,2,2,1,1,2,2,2,1,2,1,2,1,2,0,0,2,2,1
burieddrum15@gmail.com,2,2,2,0,1,2,2,1,2,1,1,0,0,1,1,1,2,2,2,2
losthat457@163.com,2,1,2,1,2,1,1,1,2,1,2,2,1,0,2,2,2,2,1,1
foldingshoes832@outlook.com,2,0,2,2,2,2,1,2,0,2,1,1,1,2,1,2,1,1,1,2
deepcup89@qq.com,1,1,2,0,1,1,0,1,2,2,1,2,2,2,2,2,1,2,2,1
foldingcup786@163.com,2,0,2,2,1,0,2,0,2,1,2,2,2,0,1,1,1,2,2,0
replacementskates777@yahoo.com,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,0,2,2,1
moistcup153@163.com,2,0,2,2,2,1,0,2,0,1,1,0,1,1,2,2,2,2,1,2
slightlychrysler47@gmail.com,2,1,1,0,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1
slightlyhat250@gmail.com,2,1,1,2,1,2,0,0,2,2,2,1,1,2,2,1,1,1,2,2
slimybeans83@yahoo.com,2,0,1,2,2,2,0,2,2,1,2,1,0,2,2,1,2,1,0,0
foundspice938@yahoo.com,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,1
acientchrysler809@gmail.com,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1
dryrug490@yahoo.com,1,1,0,2,1,2,2,2,0,2,1,2,1,1,2,0,2,2,0,2
usedsub254@gmail.com,0,1,2,2,1,2,2,1,0,2,2,1,1,1,1,1,2,2,2,2
slightlycup905@outlook.com,1,0,2,0,2,1,2,2,0,0,2,2,1,1,2,1,2,2,1,2
freshyjug808@gmail.com,2,1,0,2,1,2,1,1,2,1,1,2,2,0,2,2,2,2,1,1
tiredsub5@gmail.com,2,2,2,0,0,1,2,2,2,0,2,1,2,1,1,1,1,1,2,2
moistsnake175@yahoo.com,2,2,2,0,0,0,2,1,0,1,2,1,2,1,1,2,2,2,2,1
foundtide258@yahoo.com,1,2,1,2,2,1,0,2,2,1,2,1,0,1,2,1,2,2,1,2
lostskates393@qq.com,2,2,1,0,2,2,2,2,2,1,1,0,2,1,0,1,1,1,2,2
hotbike829@163.com,1,2,2,2,2,0,2,0,1,2,2,0,1,1,1,1,1,2,2,2
foldinghat165@qq.com,2,1,0,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,1
coldcup141@qq.com,1,2,1,0,1,2,1,0,2,1,2,2,0,1,2,2,2,2,1,2
dailyspice943@163.com,1,1,1,2,2,2,2,0,0,0,1,0,1,2,2,1,2,2,2,2
buriedrug530@outlook.com,1,1,1,0,2,2,2,2,2,2,1,2,2,1,0,1,1,2,2,0
tiredskates27@163.com,1,2,2,1,2,1,2,1,0,2,1,1,0,2,2,2,2,0,1,2
extrabike590@outlook.com,1,1,1,0,1,2,0,2,2,2,2,2,1,1,2,1,2,2,1,2
acientspice952@gmail.com,2,2,1,0,2,1,1,0,2,1,2,2,1,2,2,2,0,2,1,1
acientskates970@gmail.com,2,2,1,1,1,0,0,2,2,0,2,1,1,2,2,1,0,2,2,2
retiredspice749@gmail.com,2,2,1,0,2,1,2,1,1,1,2,2,0,2,2,1,2,1,2,1
