email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
replacementspice799@qq.com,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1
hotcup894@163.com,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2
slightlytire383@qq.com,1,2,1,2,1,2,2,2,1,2,1,2,0,1,0,2,1,2
lostjug455@outlook.com,1,2,1,2,2,2,1,2,2,2,1,0,1,0,2,1,2,1
slightlyspice55@gmail.com,2,0,1,0,0,2,0,2,2,1,2,1,2,2,1,2,1,2
oldrug449@qq.com,2,1,1,1,2,2,2,2,1,2,1,0,2,1,0,2,2,1
coldtire692@yahoo.com,2,2,2,2,1,0,2,1,2,2,1,0,2,2,0,0,1,1
mostlycup976@qq.com,2,2,2,1,0,1,1,2,2,2,0,0,2,2,2,1,1,0
dailybike530@gmail.com,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2
lostwindow390@gmail.com,1,1,1,2,1,2,1,2,1,2,2,0,2,2,1,2,2,1
foldingsnake113@yahoo.com,2,2,1,1,1,2,0,2,1,2,1,2,2,2,0,2,1,1
mostlyspice127@gmail.com,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,0,1,1
coldcola526@163.com,0,2,2,2,2,1,0,2,1,1,2,2,2,2,1,1,1,1
replacementshack840@outlook.com,2,2,2,1,2,1,1,2,2,1,1,2,1,0,2,2,0,1
usedcup447@yahoo.com,1,0,1,2,1,2,2,1,0,0,2,2,2,1,1,2,2,2
replacementsnake840@yahoo.com,2,2,1,2,2,2,1,2,1,2,1,0,2,2,0,0,1,1
hottire211@outlook.com,1,2,0,2,1,1,2,2,1,2,2,1,1,0,2,0,2,2
buriedjeep883@163.com,1,2,2,2,2,1,1,2,0,2,1,0,1,1,2,2,2,1
slimyhat636@outlook.com,0,2,2,2,2,2,2,1,1,0,1,2,1,1,1,1,2,2
deephat767@qq.com,1,2,2,0,1,1,2,1,2,1,2,2,1,2,0,2,1,2
milkydrum700@yahoo.com,2,2,2,1,2,1,0,2,2,1,1,1,2,2,1,0,1,2
deepskates63@qq.com,1,1,1,2,2,2,2,1,0,2,1,1,2,2,1,2,0,2
slimyspice279@qq.com,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,1
usedrug746@outlook.com,2,2,2,2,1,2,0,2,2,1,1,0,2,1,1,1,0,2
slimyskates157@163.com,2,2,1,2,1,1,2,2,1,0,2,2,1,1,2,0,2,1
milkysub116@yahoo.com,1,0,1,2,2,1,0,2,2,2,0,2,2,1,2,0,1,2
soiledtire703@163.com,2,2,0,0,2,2,2,2,2,1,2,1,2,1,0,1,1,1
foundwindow771@qq.com,2,0,2,2,1,2,2,1,2,1,2,0,2,2,1,0,1,1
usedblanket979@163.com,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,0,1,2
dryjeep934@gmail.com,2,2,1,0,2,2,2,1,2,1,2,2,1,1,1,2,1,1
soiledshoes971@163.com,2,1,1,2,1,2,2,1,2,2,1,2,2,1,0,0,1,2
freshywindow51@outlook.com,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,0,1,1
usedcola410@outlook.com,1,2,0,0,2,1,2,2,1,0,2,2,1,1,2,2,1,2
foundshack286@163.com,2,1,1,2,2,1,1,2,2,0,2,2,1,2,0,0,2,1
deepshoes823@gmail.com,2,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1
dailyshack386@yahoo.com,1,2,0,2,1,2,2,1,1,1,0,2,1,2,2,2,1,2
oldwindow763@yahoo.com,2,0,1,2,1,1,2,1,2,1,2,2,1,2,0,0,2,2
hotsnake893@163.com,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,1,2
deeptide738@gmail.com,0,2,1,1,1,2,2,1,2,2,2,0,2,2,2,0,1,1
moistwindow556@yahoo.com,1,1,1,1,0,0,2,2,2,2,1,1,1,2,2,2,2,2
newhat705@yahoo.com,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,2
milkychrysler100@gmail.com,2,2,2,0,1,1,1,1,1,1,2,2,2,2,1,1,2,2
coldcup782@qq.com,1,2,1,1,0,0,2,2,2,2,2,2,2,1,1,2,1,1
fishyshack946@163.com,2,1,2,2,1,0,1,2,1,2,1,2,2,1,1,2,1,2
tiredskates27@163.com,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2
slimyrug81@yahoo.com,0,2,2,2,1,2,1,1,2,1,0,1,1,2,2,2,2,1
lostsub932@163.com,0,1,2,1,2,1,2,1,0,2,2,1,2,1,2,0,2,2
deeptire133@outlook.com,2,1,1,0,2,2,1,1,1,2,2,2,1,2,0,2,1,2
foundshirt542@yahoo.com,2,2,0,1,2,2,1,1,2,1,2,1,1,2,0,2,2,1
moistcup595@outlook.com,2,1,1,2,1,2,0,1,2,1,1,2,2,2,1,2,2,1
coldsnake814@gmail.com,2,1,2,1,2,1,2,0,2,2,1,2,1,2,1,0,2,1
newtide512@gmail.com,2,2,2,1,1,2,1,1,2,0,1,1,2,2,2,0,2,1
acientbread18@outlook.com,2,1,2,2,1,2,2,1,0,1,1,2,1,2,2,0,2,1
acientsnake134@outlook.com,2,2,1,1,0,1,2,2,2,1,2,2,1,2,0,0,1,2
mostlyshack538@gmail.com,1,2,1,1,2,1,2,2,0,2,2,2,2,1,1,0,1,2
slimycup306@yahoo.com,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,0,2,2
slightlyshack127@outlook.com,1,2,2,0,2,2,0,1,1,2,1,0,1,2,2,1,2,2
hotwindow664@163.com,1,1,2,1,1,2,2,1,2,0,2,2,1,1,2,2,1,2
mostlyshoes535@gmail.com,1,1,0,2,2,2,0,2,1,2,2,0,1,0,1,2,2,2
acientblanket702@qq.com,2,1,2,2,2,2,2,2,2,0,1,2,1,1,1,1,1,1
