email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
clamyspice717@outlook.com,1,1,2,2,2,2,1,2,0,1,1,1,2,1,2,2,1,0,2,2,2,1
slimycola683@outlook.com,1,2,1,1,2,1,2,1,2,1,2,1,2,0,1,2,2,1,2,2,1,2
retiredchrysler146@outlook.com,0,2,2,2,1,2,1,1,2,0,2,2,2,1,1,2,2,1,0,1,1,2
milkyshoes757@yahoo.com,1,2,2,1,2,2,2,1,2,2,1,0,2,2,0,1,2,0,2,1,1,1
dryjug879@yahoo.com,2,2,0,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2
deeprug165@outlook.com,2,1,1,2,1,1,2,1,0,2,1,2,1,2,2,1,2,2,0,2,1,2
foldingrug197@outlook.com,1,1,2,0,2,2,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2
soiledblanket200@gmail.com,2,2,2,2,0,1,1,1,2,2,2,1,2,2,2,1,2,1,0,1,1,1
soiledshoes664@yahoo.com,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2
usedrug746@outlook.com,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,2,0,1,0,2,1,2
freshytire179@outlook.com,1,1,1,2,2,1,2,2,1,2,1,2,1,0,2,2,2,1,2,1,1,2
dryshoes626@gmail.com,2,2,2,1,1,2,2,1,1,0,2,2,1,0,2,2,1,0,2,2,0,1
buriedtide314@outlook.com,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,0,2,2,1,2,1,1
coldsub278@yahoo.com,0,2,2,1,2,1,2,2,0,0,2,2,0,2,2,1,2,1,0,1,1,2
hotspice194@gmail.com,2,2,0,2,1,2,1,1,0,1,2,2,1,1,1,2,2,1,2,2,1,2
slightlyjug254@yahoo.com,1,2,1,1,2,1,1,2,2,2,1,2,2,0,2,1,1,1,2,1,2,2
extraskates217@163.com,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,0,2
deepdrum919@qq.com,1,2,0,2,0,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2
lostdrum631@163.com,1,2,2,0,0,0,2,2,2,1,1,2,1,0,2,2,2,2,1,1,2,1
replacementblanket784@163.com,2,1,0,0,2,1,1,1,1,1,0,2,2,2,2,2,2,1,2,2,1,2
hotbike143@outlook.com,2,1,2,1,0,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1
extrashack431@yahoo.com,2,1,2,2,0,0,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2
tiredtire369@yahoo.com,1,1,1,0,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2
usedjeep425@outlook.com,2,2,0,1,0,2,2,2,1,2,1,2,1,0,1,2,1,1,2,2,2,1
foldingjeep939@qq.com,2,2,2,2,0,2,2,2,1,1,1,1,2,0,2,1,0,1,2,2,1,1
colddrum262@163.com,2,2,2,1,0,2,1,1,2,1,1,2,2,1,0,2,2,2,2,1,0,1
fishyshirt859@outlook.com,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,0,0
mostlybread482@qq.com,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,2
drycup651@163.com,2,2,1,1,1,1,0,2,2,2,1,2,2,2,1,2,1,1,0,2,2,1
replacementshack38@163.com,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2
replacementskates795@outlook.com,1,1,2,1,1,2,2,1,1,2,1,1,2,2,0,2,1,2,0,2,2,2
slimyrug911@163.com,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1
moistcup626@163.com,2,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1
milkyshoes608@gmail.com,1,1,1,2,0,1,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2
buriedspice543@yahoo.com,2,2,1,0,0,1,2,2,1,2,2,1,2,2,2,1,1,2,0,1,0,2
dailyskates789@outlook.com,2,2,0,0,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,1
freshyrug186@163.com,2,2,1,2,2,2,1,2,2,1,1,2,2,0,1,1,1,1,1,1,2,2
oldblanket634@yahoo.com,1,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2
moisttide935@gmail.com,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2
clamyjug899@yahoo.com,1,2,1,0,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2
coldwindow93@gmail.com,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,0,1,2,1
buriedshirt115@yahoo.com,1,1,2,2,2,1,2,1,1,2,2,1,1,2,2,0,1,2,2,1,2,1
clamybeans775@outlook.com,1,2,1,0,1,2,1,2,2,2,2,2,2,0,1,1,2,1,0,1,2,2
clamyjug230@qq.com,1,1,1,1,2,1,2,2,0,2,2,1,2,0,2,2,1,2,0,2,0,2
dailyjug835@163.com,1,0,2,2,2,2,1,1,1,2,1,1,1,2,0,0,2,1,2,2,2,2
moistspice387@qq.com,0,1,1,0,1,1,2,2,2,0,2,2,2,1,2,1,2,2,1,1,2,2
extraspice523@gmail.com,1,2,2,2,1,2,2,1,2,2,0,1,1,1,2,1,1,1,2,2,2,1
soiledsnake93@qq.com,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2
milkydrum371@163.com,2,2,1,0,1,1,1,0,2,2,2,1,1,2,2,2,2,1,1,2,1,2
usedtide801@yahoo.com,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,0,2,2,1
newbike501@163.com,0,2,0,1,2,2,1,2,2,1,2,1,2,2,1,1,0,2,2,1,2,1
oldbeans441@qq.com,1,2,1,1,2,0,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2
clamyshirt500@qq.com,1,0,2,0,1,2,2,2,1,1,1,2,2,2,1,1,2,1,0,2,2,2
foldingwindow502@yahoo.com,1,1,2,2,2,1,1,1,1,2,2,2,2,1,0,2,2,2,1,1,1,2
usedwindow885@yahoo.com,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2
hotblanket621@gmail.com,2,0,1,0,0,1,0,2,2,2,1,2,1,2,2,2,1,2,0,1,2,2
retiredshack97@gmail.com,2,0,2,2,1,2,2,1,2,1,1,1,1,0,2,1,1,1,2,2,2,2
oldshack980@gmail.com,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,0,2
milkyspice620@qq.com,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,0,2
fishybike254@qq.com,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,0,2,0,1
dirtytire674@outlook.com,0,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,0,1,2,1,2,1
coldblanket968@gmail.com,2,2,1,0,2,2,1,1,2,2,1,1,1,2,1,2,2,0,2,1,2,1
dirtyhat787@gmail.com,2,1,2,0,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,0,1
hotrug940@gmail.com,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,0,2
moistbike306@yahoo.com,2,0,0,1,0,2,1,2,2,2,2,1,2,1,2,2,1,2,0,1,0,2
coldsnake85@qq.com,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,0,2,1,1
fishybeans629@qq.com,0,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,0,2,1,1
retiredblanket962@yahoo.com,2,2,2,1,2,2,1,1,2,2,1,1,2,0,2,1,2,1,0,2,1,1
foldingshack729@gmail.com,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2
foundtide258@yahoo.com,1,2,1,2,2,1,0,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2
slightlyhat370@outlook.com,1,2,2,1,2,2,0,2,0,2,1,2,2,2,1,1,1,2,0,2,1,1
moistshoes897@163.com,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,0,2,1,1,2
slightlycup436@yahoo.com,2,0,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,0,2,0,2
replacementshirt214@163.com,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2
foundspice938@yahoo.com,1,1,2,0,2,2,2,1,1,0,2,1,2,2,0,1,2,2,2,1,2,0
foundrug2@yahoo.com,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2
tiredbread440@163.com,2,1,1,2,2,1,1,1,2,2,2,2,0,1,2,1,0,2,2,1,2,1
moistshoes316@qq.com,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2
acienttide795@yahoo.com,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1
acientshoes397@163.com,2,2,1,0,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1
lostspice859@gmail.com,1,2,2,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2
replacementbike38@yahoo.com,2,2,0,1,1,1,2,2,2,1,2,2,0,2,1,2,2,1,0,2,0,1
acientbeans987@gmail.com,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2
moistcola120@gmail.com,2,1,2,1,2,1,2,0,2,1,2,2,1,1,2,0,2,0,2,2,0,1
deepsub474@yahoo.com,0,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2
replacementshoes99@outlook.com,1,1,1,0,2,1,1,2,2,2,2,2,1,2,2,2,0,1,1,2,2,1
drychrysler511@gmail.com,1,1,1,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,0,2,1,2
fishysnake533@yahoo.com,2,2,2,0,2,2,2,1,1,2,2,1,1,2,1,2,1,1,0,2,0,1
deepbread26@qq.com,1,1,2,2,2,1,2,2,1,2,2,0,1,2,1,1,1,2,2,1,1,2
lostskates470@gmail.com,0,1,2,2,1,2,2,1,1,1,2,2,2,0,2,1,1,2,2,2,1,1
newskates92@gmail.com,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,0,2,1,2,1,2
hotcup940@outlook.com,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1
