email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
replacementdrum717@163.com,2,2,1,1,2,2,1,2,2,0,2,0,1,2,1,0
soiledshack984@163.com,1,1,1,1,2,1,2,1,2,2,2,0,1,2,2,2
dailybeans981@gmail.com,2,2,2,2,1,2,1,2,1,1,2,1,1,1,0,2
slimybeans511@qq.com,2,1,2,1,1,2,1,0,2,2,1,2,1,2,1,2
oldtire137@qq.com,1,0,1,2,0,2,2,0,2,1,1,2,2,2,1,2
hotbike143@outlook.com,2,1,2,1,1,1,2,2,0,2,1,1,2,2,1,2
freshyblanket717@outlook.com,2,0,2,1,2,2,1,2,0,1,2,0,1,1,2,2
acientsnake555@gmail.com,2,2,2,1,2,1,2,0,1,2,2,1,2,1,0,0
dryblanket964@gmail.com,2,2,1,1,1,1,1,0,0,2,1,2,2,2,2,2
fishyrug448@yahoo.com,1,2,1,2,1,1,1,2,0,1,2,2,2,1,2,2
buriedcup124@yahoo.com,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,2
foldingrug197@outlook.com,1,2,2,1,2,1,2,2,0,1,2,1,1,2,0,2
slimybread27@qq.com,1,2,1,2,2,1,1,2,2,2,2,0,1,2,1,1
deepchrysler238@outlook.com,1,0,0,1,1,2,2,2,0,2,2,2,1,2,1,2
foundbeans7@163.com,2,2,0,2,1,2,2,2,0,1,0,1,2,1,2,0
extraspice708@qq.com,2,2,2,1,1,2,1,0,2,2,1,1,2,2,1,0
slimywindow139@gmail.com,1,2,1,2,2,2,1,2,2,2,1,0,1,1,0,2
milkyjug513@163.com,0,2,2,0,1,2,1,2,0,1,2,1,2,2,0,2
newtide749@gmail.com,2,2,2,0,1,1,2,2,2,1,1,0,1,1,2,2
mostlybread482@qq.com,1,0,2,1,1,1,2,2,2,2,2,1,1,2,0,2
hotrug368@outlook.com,2,0,2,1,2,1,2,2,2,1,1,1,1,1,2,2
oldchrysler191@qq.com,1,2,2,1,2,1,1,2,0,0,2,1,2,2,0,2
lostblanket281@qq.com,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2
oldblanket905@163.com,2,0,1,2,2,1,2,2,0,2,2,1,2,1,1,0
freshybread696@163.com,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1
milkyrug604@yahoo.com,2,1,0,2,2,1,0,0,2,2,2,1,1,2,2,0
fishychrysler416@163.com,2,0,1,2,1,1,1,0,2,2,2,2,0,1,2,2
replacementcup675@qq.com,2,0,2,2,2,2,1,1,1,1,2,2,2,1,0,0
mostlyshoes535@gmail.com,1,0,1,2,2,2,2,1,2,2,1,1,1,1,2,2
lostshack328@gmail.com,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,0
clamytire126@163.com,2,2,2,2,2,1,1,0,0,1,1,2,2,1,2,1
moistwindow592@outlook.com,1,2,2,1,2,1,1,2,2,2,0,0,1,2,1,2
milkyspice620@qq.com,1,1,1,2,1,2,1,2,0,2,2,2,2,1,1,2
